mass,formula,frac_abundance
79.04219818,C5H5N,0.001419634
79.05030823,j13CC5H6,0.000118457
79.05477142,C6H7,0.011010343
79.92616272,HBr,0
79.95681763,SO3,0
79.9733429,CH2j34SO2,1.84E-06
79.98983002,C4O2,0.000941864
80.0091685,j13CC3HNO,9.89E-06
80.01364136,C4H2NO,5.80E-06
80.02174377,j13CC4H3O,-1.79E-07
80.02620697,C5H4O,0.000376569
80.03923413,C5H5j15N,5.19E-06
80.04108381,j13C2C3H4N,3.04E-07
80.04555511,j13CC4H5N,7.68E-05
80.05003357,C5H6N,0.000276008
80.05812836,j13CC5H7,0.000714507
80.06259918,C6H8,0.001704848
80.91629028,j81Br,0
80.95619965,j33SO3,0
80.96463776,HSO3,0
80.99318695,j13CC3O2,4.07E-05
80.99765778,C4HO2,0.000329509
81.01699066,j13CC3H2NO,2.51E-07
81.02146373,C4H3NO,0.000571939
81.02957153,j13CC4H4O,2.04E-05
81.03404236,C5H5O,0.002328868
81.04705916,C5H6j15N,1.01E-06
81.04890884,j13C2C3H5N,1.66E-06
81.05337524,j13CC4H6N,1.49E-05
81.05784923,C5H7N,0.00093756
81.06596375,j13CC5H8,0.000110635
81.07042694,C6H9,0.006560301
81.92411804,Hj81Br,0
81.93771362,CCl2,-3.88E-06
81.9526062,j34SO3,0
81.9640274,Hj33SO3,0
81.97247314,H2SO3,0
82.00100708,j13CC3HO2,1.43E-05
82.00547791,C4H2O2,0.000152075
82.01849869,C4H3j15NO,2.09E-06
82.02481856,j13CC3H3NO,2.47E-05
82.02928876,C4H4NO,0.000670619
82.03739166,j13CC4H5O,0.000125942
82.04186249,C5H6O,0.005108121
82.0548842,C5H7j15N,3.43E-06
82.05673387,j13C2C3H6N,3.23E-07
82.06120407,j13CC4H7N,5.07E-05
82.06567426,C5H8N,0.000170376
82.07377625,j13CC5H9,0.000425725
82.07824707,C6H10,0.001521596
82.94106293,j13CCl2,-4.20E-08
82.96042633,Hj34SO3,0
83.00071716,C3HNO2,0.000350714
83.00883484,j13CC3H2O2,6.58E-06
83.01331329,C4H3O2,-6.77E-07
83.0257095,C4H3Nj18O,1.18E-06
83.02632372,C4H4j15NO,2.45E-06
83.0326436,j13CC3H4NO,2.90E-05
83.03711379,C4H5NO,0.001206848
83.04521942,j13CC4H6O,0.00027624
83.04969025,C5H7O,0.008195905
83.06270923,C5H8j15N,6.22E-07
83.06455891,j13C2C3H7N,1.10E-06
83.0690291,j13CC4H8N,9.21E-06
83.07350159,C5H9N,0.000140828
83.08159637,j13CC5H10,9.87E-05
83.0860672,C6H11,0.000923937
83.93475342,Cj37ClCl,-2.48E-06
83.96698535,C3SO,2.77E-05
83.96826172,H2j34SO3,0
84,C7,-2.16E-06
84.00408173,j13CC2HNO2,1.14E-05
84.00855255,C3H2NO2,0.000148951
84.0166626,j13CC3H3O2,-2.93E-08
84.02113342,C4H4O2,0.000764703
84.03353454,C4H4Nj18O,1.38E-06
84.03414875,C4H5j15NO,4.41E-06
84.04046863,j13CC3H5NO,5.22E-05
84.04493882,C4H6NO,0.000181572
84.05304718,j13CC4H7O,0.000443222
84.05751801,C5H8O,0.000829008
84.07238394,j13C2C3H8N,1.99E-07
84.07685089,j13CC4H9N,7.62E-06
84.08132172,C5H10N,3.19E-05
84.08943176,j13CC5H11,6.00E-05
84.09390259,C6H12,7.24E-05
84.91178894,Rb,0
84.96637316,C3j33SO,2.19E-07
84.97034019,j13CC2SO,8.98E-07
84.97480774,C3HSO,2.61E-05
85.00335693,j13CC6,-1.63E-07
85.00782776,C7H,-4.73E-06
85.01190948,j13CC2H2NO2,4.83E-06
85.01638031,C3H3NO2,0.000436879
85.02448273,j13CC3H4O2,3.31E-05
85.02895355,C4H5O2,0.00172891
85.04135957,C4H5Nj18O,2.48E-06
85.04829366,j13CC3H6NO,7.86E-06
85.05276385,C4H7NO,0.000328882
85.06086731,j13CC4H8O,4.48E-05
85.06533813,C5H9O,0.001494268
85.08467865,j13CC4H10N,1.73E-06
85.09725189,j13CC5H12,4.70E-06
85.10172272,C6H13,5.92E-05
85.93180847,Cj37Cl2,-3.97E-07
85.96278149,C3j34SO,1.24E-06
85.97123113,C3Sj18O,5.69E-08
85.97419819,C3Hj33SO,2.06E-07
85.97816467,j13CC2HSO,8.45E-07
85.9826355,C3H2SO,2.96E-05
86.01117706,j13CC6H,-3.58E-07
86.01564789,C7H2,7.29E-05
86.01972961,j13CC2H3NO2,1.42E-05
86.02420044,C3H4NO2,0.00019511
86.03231049,j13CC3H5O2,7.48E-05
86.03678131,C4H6O2,0.000813504
86.04979882,C4H7j15NO,1.20E-06
86.05611869,j13CC3H7NO,1.42E-05
86.06058888,C4H8NO,7.14E-05
86.0687027,j13CC4H9O,8.08E-05
86.07317352,C5H10O,0.000265183
86.10507965,j13CC5H13,3.84E-06
86.10955048,C6H14,1.56E-05
86.90917969,j87Rb,0
86.96613633,j13CC2j34SO,4.02E-08
86.97060394,C3Hj34SO,1.17E-06
86.97905616,C3HSj18O,5.35E-08
86.98202323,C3H2j33SO,2.34E-07
